"time_stamp,""humidity"",""temperature"",""topic"""
"2024-12-19 17:25:34.223253000,""34"",""20"",""DHT11"""
"2024-12-19 20:03:44.279485000,""33"",""19"",""DHT11"""
"2024-12-19 00:45:15.882960000,""23"",""19"",""DHT11"""
"2024-12-19 20:11:26.444756000,""28"",""19"",""DHT11"""
"2024-12-19 20:16:44.887566000,""33"",""20"",""DHT11"""
"2024-12-19 17:31:35.262319000,""37"",""20"",""DHT11"""
"2024-12-19 17:31:36.779666000,""37"",""20"",""DHT11"""
"2024-12-19 20:02:47.925604000,""33"",""19"",""DHT11"""
"2024-12-19 00:45:40.903386000,""23"",""19"",""DHT11"""
"2024-12-19 17:07:35.144341000,""1"",""19"",""DHT11"""
"2024-12-19 17:23:59.006595000,""5"",""20"",""DHT11"""
"2024-12-19 00:45:19.429778000,""15"",""19"",""DHT11"""
"2024-12-19 20:09:21.508049000,""28"",""19"",""DHT11"""
"2024-12-19 00:45:12.849364000,""23"",""19"",""DHT11"""
"2024-12-19 17:30:52.803259000,""37"",""20"",""DHT11"""
"2024-12-19 20:19:59.481434000,""32"",""20"",""DHT11"""
"2024-12-19 20:21:50.356994000,""27"",""19"",""DHT11"""
"2024-12-19 17:32:43.625023000,""33"",""20"",""DHT11"""
"2024-12-19 20:22:42.097985000,""27"",""19"",""DHT11"""
"2024-12-19 20:17:26.671330000,""32"",""20"",""DHT11"""
"2024-12-19 20:20:01.753405000,""32"",""20"",""DHT11"""
"2024-12-19 17:22:15.335176000,""2"",""20"",""DHT11"""
"2024-12-19 20:08:19.227331000,""31"",""19"",""DHT11"""
"2024-12-19 20:20:22.605240000,""32"",""20"",""DHT11"""
"2024-12-19 20:17:35.787501000,""5"",""20"",""DHT11"""
"2024-12-19 20:22:01.105462000,""31"",""19"",""DHT11"""
"2024-12-19 20:14:37.392165000,""33"",""19"",""DHT11"""
"2024-12-19 20:25:41.667979000,""28"",""19"",""DHT11"""
"2024-12-19 17:16:08.531372000,""37"",""20"",""DHT11"""
"2024-12-19 17:23:00.476022000,""1"",""20"",""DHT11"""
"2024-12-19 17:07:21.886330000,""2"",""19"",""DHT11"""
"2024-12-19 17:27:17.312416000,""6"",""20"",""DHT11"""
"2024-12-19 17:23:24.107548000,""35"",""20"",""DHT11"""
"2024-12-19 20:10:45.018414000,""33"",""19"",""DHT11"""
"2024-12-19 17:28:24.146049000,""37"",""20"",""DHT11"""
"2024-12-19 00:46:07.837519000,""20"",""19"",""DHT11"""
"2024-12-19 17:17:12.050120000,""33"",""20"",""DHT11"""
"2024-12-19 17:13:07.239615000,""37"",""19"",""DHT11"""
"2024-12-19 17:16:40.208966000,""37"",""20"",""DHT11"""
"2024-12-19 20:20:27.539598000,""32"",""20"",""DHT11"""
"2024-12-19 17:13:13.930199000,""34"",""19"",""DHT11"""
"2024-12-19 17:31:08.092678000,""37"",""20"",""DHT11"""
"2024-12-19 20:07:37.478119000,""34"",""19"",""DHT11"""
"2024-12-19 20:23:37.841677000,""28"",""19"",""DHT11"""
"2024-12-19 20:10:11.638484000,""33"",""20"",""DHT11"""
"2024-12-19 20:02:43.889261000,""33"",""19"",""DHT11"""
"2024-12-19 00:47:36.752512000,""23"",""20"",""DHT11"""
"2024-12-19 20:18:56.846638000,""31"",""20"",""DHT11"""
"2024-12-19 17:24:26.572044000,""33"",""20"",""DHT11"""
"2024-12-19 20:22:58.673211000,""32"",""19"",""DHT11"""
"2024-12-19 17:15:02.249862000,""37"",""20"",""DHT11"""
"2024-12-19 20:10:38.570917000,""5"",""19"",""DHT11"""
"2024-12-19 17:11:28.288950000,""1"",""19"",""DHT11"""
"2024-12-19 20:04:40.879894000,""33"",""19"",""DHT11"""
"2024-12-19 17:15:49.914532000,""35"",""20"",""DHT11"""
"2024-12-19 17:17:23.435850000,""37"",""20"",""DHT11"""
"2024-12-19 17:29:47.245251000,""35"",""20"",""DHT11"""
"2024-12-19 20:00:59.264010000,""1"",""19"",""DHT11"""
"2024-12-19 17:15:55.612955000,""1"",""20"",""DHT11"""
"2024-12-19 17:30:48.017380000,""1"",""20"",""DHT11"""
"2024-12-19 20:07:56.874945000,""31"",""19"",""DHT11"""
"2024-12-19 20:00:52.451536000,""1"",""19"",""DHT11"""
"2024-12-19 20:22:27.908486000,""27"",""19"",""DHT11"""
"2024-12-19 20:02:24.157260000,""1"",""19"",""DHT11"""
"2024-12-19 00:46:03.042626000,""20"",""19"",""DHT11"""
"2024-12-19 17:19:48.275116000,""35"",""19"",""DHT11"""
"2024-12-19 20:18:48.492830000,""33"",""20"",""DHT11"""
"2024-12-19 17:34:01.792540000,""35"",""20"",""DHT11"""
"2024-12-19 20:01:18.205400000,""5"",""19"",""DHT11"""
"2024-12-19 20:06:55.292079000,""26"",""19"",""DHT11"""
"2024-12-19 17:26:59.504279000,""37"",""20"",""DHT11"""
"2024-12-19 20:18:33.069400000,""31"",""20"",""DHT11"""
"2024-12-19 20:23:26.426568000,""28"",""19"",""DHT11"""
"2024-12-19 00:48:02.826544000,""23"",""20"",""DHT11"""
"2024-12-19 20:25:25.076871000,""27"",""19"",""DHT11"""
"2024-12-19 20:09:07.060643000,""33"",""19"",""DHT11"""
"2024-12-19 17:35:51.496297000,""35"",""20"",""DHT11"""
"2024-12-19 17:21:35.192109000,""37"",""19"",""DHT11"""
"2024-12-19 20:08:31.750058000,""28"",""19"",""DHT11"""
"2024-12-19 20:24:55.658054000,""28"",""19"",""DHT11"""
"2024-12-19 20:07:58.011663000,""33"",""19"",""DHT11"""
"2024-12-19 20:00:31.238488000,""37"",""19"",""DHT11"""
"2024-12-19 20:17:24.009421000,""33"",""20"",""DHT11"""
"2024-12-19 17:34:19.645817000,""33"",""20"",""DHT11"""
"2024-12-19 20:20:05.543940000,""33"",""20"",""DHT11"""
"2024-12-19 17:26:25.331467000,""1"",""20"",""DHT11"""
"2024-12-19 20:16:41.093646000,""1"",""20"",""DHT11"""
"2024-12-19 17:21:37.327983000,""1"",""19"",""DHT11"""
"2024-12-19 17:14:28.505595000,""1"",""20"",""DHT11"""
"2024-12-19 20:04:40.500598000,""33"",""19"",""DHT11"""
"2024-12-19 20:17:24.770060000,""33"",""20"",""DHT11"""
"2024-12-19 20:10:42.980180000,""4"",""19"",""DHT11"""
"2024-12-19 17:14:49.991318000,""1"",""20"",""DHT11"""
"2024-12-19 20:01:59.536381000,""5"",""19"",""DHT11"""
"2024-12-19 17:24:44.195483000,""33"",""20"",""DHT11"""
"2024-12-19 20:24:48.819379000,""32"",""19"",""DHT11"""
"2024-12-19 17:28:06.913405000,""1"",""20"",""DHT11"""
"2024-12-19 17:17:46.218328000,""37"",""20"",""DHT11"""
"2024-12-19 20:08:04.448672000,""31"",""19"",""DHT11"""
"2024-12-19 20:22:05.520414000,""26"",""19"",""DHT11"""
"2024-12-19 17:35:03.660285000,""33"",""20"",""DHT11"""
"2024-12-19 20:24:38.939699000,""31"",""19"",""DHT11"""
"2024-12-19 00:47:28.402751000,""23"",""20"",""DHT11"""
"2024-12-19 20:05:23.021762000,""32"",""19"",""DHT11"""
"2024-12-19 17:14:01.139399000,""37"",""20"",""DHT11"""
"2024-12-19 20:16:42.231503000,""4"",""20"",""DHT11"""
"2024-12-19 20:18:47.732288000,""6"",""20"",""DHT11"""
"2024-12-19 00:45:21.324280000,""20"",""19"",""DHT11"""
"2024-12-19 17:23:01.991273000,""37"",""20"",""DHT11"""
"2024-12-19 17:17:04.464870000,""5"",""20"",""DHT11"""
"2024-12-19 17:22:22.919241000,""3"",""20"",""DHT11"""
"2024-12-19 20:08:15.435608000,""34"",""19"",""DHT11"""
"2024-12-19 17:14:00.379820000,""37"",""20"",""DHT11"""
"2024-12-19 20:22:11.973127000,""33"",""19"",""DHT11"""
"2024-12-19 20:01:50.805042000,""1"",""19"",""DHT11"""
"2024-12-19 20:17:01.218630000,""32"",""20"",""DHT11"""
"2024-12-19 17:32:21.591288000,""37"",""20"",""DHT11"""
"2024-12-19 17:16:28.679103000,""1"",""20"",""DHT11"""
"2024-12-19 20:10:16.186520000,""31"",""19"",""DHT11"""
"2024-12-19 20:05:17.943998000,""1"",""19"",""DHT11"""
"2024-12-19 20:10:33.257256000,""32"",""19"",""DHT11"""
"2024-12-19 17:25:56.238144000,""37"",""20"",""DHT11"""
"2024-12-19 17:33:47.115774000,""35"",""20"",""DHT11"""
"2024-12-19 17:11:32.698567000,""1"",""19"",""DHT11"""
"2024-12-19 20:07:10.483192000,""33"",""19"",""DHT11"""
"2024-12-19 00:45:10.953643000,""23"",""19"",""DHT11"""
"2024-12-19 00:45:45.832682000,""23"",""19"",""DHT11"""
"2024-12-19 20:02:09.777080000,""1"",""19"",""DHT11"""
"2024-12-19 20:03:43.518996000,""31"",""19"",""DHT11"""
"2024-12-19 17:13:52.022498000,""37"",""20"",""DHT11"""
"2024-12-19 20:20:33.987547000,""33"",""20"",""DHT11"""
"2024-12-19 17:22:07.132038000,""8"",""20"",""DHT11"""
"2024-12-19 20:03:08.185177000,""28"",""19"",""DHT11"""
"2024-12-19 17:12:57.635467000,""4"",""19"",""DHT11"""
"2024-12-19 20:00:53.207783000,""7"",""19"",""DHT11"""
"2024-12-19 00:46:02.663580000,""23"",""19"",""DHT11"""
"2024-12-19 00:47:10.566510000,""23"",""20"",""DHT11"""
"2024-12-19 20:07:30.632378000,""34"",""19"",""DHT11"""
"2024-12-19 20:14:04.369138000,""33"",""19"",""DHT11"""
"2024-12-19 20:15:40.430404000,""32"",""20"",""DHT11"""
"2024-12-19 17:30:40.294479000,""35"",""20"",""DHT11"""
"2024-12-19 17:26:15.459729000,""34"",""20"",""DHT11"""
"2024-12-19 20:16:28.572399000,""33"",""20"",""DHT11"""
"2024-12-19 17:16:17.033950000,""37"",""20"",""DHT11"""
"2024-12-19 20:02:42.750216000,""34"",""19"",""DHT11"""
"2024-12-19 20:04:49.228451000,""34"",""19"",""DHT11"""
"2024-12-19 20:15:19.535359000,""3"",""20"",""DHT11"""
"2024-12-19 17:14:48.233922000,""37"",""20"",""DHT11"""
"2024-12-19 20:17:16.414349000,""32"",""20"",""DHT11"""
"2024-12-19 17:35:15.795806000,""35"",""20"",""DHT11"""
"2024-12-19 20:14:59.404341000,""31"",""19"",""DHT11"""
"2024-12-19 00:48:14.743676000,""23"",""20"",""DHT11"""
"2024-12-19 20:08:15.813762000,""4"",""19"",""DHT11"""
"2024-12-19 20:06:51.495937000,""31"",""19"",""DHT11"""
"2024-12-19 17:16:05.871649000,""1"",""20"",""DHT11"""
"2024-12-19 20:12:47.655558000,""33"",""19"",""DHT11"""
"2024-12-19 17:29:14.230304000,""6"",""20"",""DHT11"""
"2024-12-19 20:11:36.324385000,""33"",""19"",""DHT11"""
"2024-12-19 20:09:14.285561000,""33"",""19"",""DHT11"""
"2024-12-19 17:16:25.016669000,""35"",""20"",""DHT11"""
"2024-12-19 17:13:28.112216000,""35"",""19"",""DHT11"""
"2024-12-19 20:11:37.844447000,""34"",""20"",""DHT11"""
"2024-12-19 17:28:55.904465000,""35"",""20"",""DHT11"""
"2024-12-19 20:23:08.177633000,""31"",""19"",""DHT11"""
"2024-12-19 20:21:54.904173000,""28"",""19"",""DHT11"""
"2024-12-19 20:08:28.953376000,""28"",""19"",""DHT11"""
"2024-12-19 20:25:51.514174000,""31"",""19"",""DHT11"""
"2024-12-19 20:21:11.200837000,""28"",""20"",""DHT11"""
"2024-12-19 20:24:20.719387000,""31"",""19"",""DHT11"""
"2024-12-19 17:14:09.116589000,""37"",""20"",""DHT11"""
"2024-12-19 20:15:57.863799000,""33"",""20"",""DHT11"""
"2024-12-19 17:22:05.118845000,""9"",""20"",""DHT11"""
"2024-12-19 20:10:05.200677000,""31"",""20"",""DHT11"""
"2024-12-19 20:22:23.353566000,""27"",""19"",""DHT11"""
"2024-12-19 17:32:25.388504000,""37"",""20"",""DHT11"""
"2024-12-19 17:15:10.214177000,""34"",""20"",""DHT11"""
"2024-12-19 17:34:53.802323000,""37"",""20"",""DHT11"""
"2024-12-19 17:30:58.236253000,""2"",""20"",""DHT11"""
"2024-12-19 20:01:47.011214000,""1"",""19"",""DHT11"""
"2024-12-19 17:33:22.675926000,""35"",""20"",""DHT11"""
"2024-12-19 20:13:21.092969000,""3"",""19"",""DHT11"""
"2024-12-19 20:22:55.630497000,""28"",""19"",""DHT11"""
"2024-12-19 17:35:31.364527000,""32"",""19"",""DHT11"""
"2024-12-19 20:10:10.881716000,""33"",""20"",""DHT11"""
"2024-12-19 20:03:00.211142000,""35"",""19"",""DHT11"""
"2024-12-19 20:03:06.907513000,""33"",""19"",""DHT11"""
"2024-12-19 17:22:53.037451000,""1"",""20"",""DHT11"""
"2024-12-19 17:17:39.383918000,""1"",""20"",""DHT11"""
"2024-12-19 17:22:09.024778000,""7"",""20"",""DHT11"""
"2024-12-19 20:18:12.058059000,""3"",""19"",""DHT11"""
"2024-12-19 17:27:01.153662000,""35"",""20"",""DHT11"""
"2024-12-19 17:07:37.418044000,""1"",""19"",""DHT11"""
"2024-12-19 17:31:02.645537000,""34"",""20"",""DHT11"""
"2024-12-19 00:46:38.966232000,""21"",""20"",""DHT11"""
"2024-12-19 17:17:07.499317000,""37"",""20"",""DHT11"""
"2024-12-19 17:27:00.016383000,""6"",""20"",""DHT11"""
"2024-12-19 20:10:59.452157000,""31"",""19"",""DHT11"""
"2024-12-19 00:47:27.884330000,""23"",""20"",""DHT11"""
"2024-12-19 17:25:12.476492000,""4"",""20"",""DHT11"""
"2024-12-19 20:02:00.294990000,""5"",""19"",""DHT11"""
"2024-12-19 20:17:34.269733000,""7"",""20"",""DHT11"""
"2024-12-19 20:05:07.452892000,""33"",""19"",""DHT11"""
"2024-12-19 17:16:35.531168000,""1"",""20"",""DHT11"""
"2024-12-19 20:18:25.338699000,""28"",""19"",""DHT11"""
"2024-12-19 00:47:19.293932000,""20"",""20"",""DHT11"""
"2024-12-19 17:34:41.062427000,""35"",""20"",""DHT11"""
"2024-12-19 20:02:50.338087000,""34"",""19"",""DHT11"""
"2024-12-19 17:16:13.233921000,""35"",""20"",""DHT11"""
"2024-12-19 17:34:19.026139000,""33"",""20"",""DHT11"""
"2024-12-19 20:15:40.050418000,""28"",""19"",""DHT11"""
"2024-12-19 20:19:19.248963000,""37"",""20"",""DHT11"""
"2024-12-19 17:31:58.176780000,""35"",""20"",""DHT11"""
"2024-12-19 20:04:23.961564000,""6"",""19"",""DHT11"""
"2024-12-19 20:13:38.579782000,""32"",""19"",""DHT11"""
"2024-12-19 17:16:01.451332000,""37"",""20"",""DHT11"""
"2024-12-19 17:29:11.438638000,""1"",""20"",""DHT11"""
"2024-12-19 17:24:47.236785000,""35"",""20"",""DHT11"""
"2024-12-19 00:45:46.729092000,""20"",""19"",""DHT11"""
"2024-12-19 20:13:31.980998000,""31"",""19"",""DHT11"""
"2024-12-19 17:17:09.395696000,""1"",""20"",""DHT11"""
